Відділ,Номер угоди,Лінійка продукту,Стать,Вік,Ціна,Кількість,Податок 6%,Сезон,Загальна сума,Дата,Час,Тип оплати
A,138-57-3134,М'ясні продукти,Чоловік,42,342.45,6,20.55,Весна,397.25,2023-03-24,15:18:03,Оплата карткою
B,777-49-4960,Солодкі напої,Чоловік,36,22.91,1,1.37,Весна,26.57,2023-03-16,20:31:35,Оплата карткою
C,976-23-6109,Інструменти,Чоловік,25,104.7,2,6.28,Весна,121.45,2023-03-07,22:26:29,Електронний гаманець
A,751-20-6047,Солодощі,Чоловік,17,67.67,3,4.06,Весна,78.5,2023-01-02,16:31:23,Електронний гаманець
A,717-16-4194,Фрукти та овочі,Чоловік,61,48.08,2,2.88,Весна,55.77,2023-01-23,16:19:45,Готівкою
A,587-10-3818,Фрукти та овочі,Чоловік,44,7.91,1,0.47,Весна,9.17,2023-01-05,12:00:51,Електронний гаманець
B,513-24-1858,Алкоголь,Чоловік,68,1188.33,10,71.3,Весна,1378.46,2023-02-01,14:05:14,Готівкою
C,819-86-8860,Інструменти,Жінка,44,1645.43,10,98.73,Весна,1908.7,2023-01-14,17:17:09,Електронний гаманець
A,232-96-5652,М'ясні продукти,Чоловік,50,75.04,1,4.5,Весна,87.04,2023-01-26,21:15:15,Готівкою
B,897-13-4218,Солодкі напої,Чоловік,20,115.59,4,6.94,Весна,134.09,2023-03-16,16:26:14,Готівкою
A,196-67-8915,Молочні продукти,Жінка,42,264.6,7,15.88,Весна,306.94,2023-01-28,13:15:17,Готівкою
B,329-35-7545,Солодкі напої,Чоловік,10,23.82,1,1.43,Весна,27.63,2023-01-21,21:30:55,Оплата карткою
A,868-98-4635,М'ясні продукти,Чоловік,25,538.7,7,32.32,Весна,624.89,2023-02-07,19:25:52,Оплата карткою
B,255-82-6059,Алкоголь,Чоловік,57,63.6,1,3.82,Весна,73.78,2023-01-26,20:43:23,Готівкою
A,780-15-8281,М'ясні продукти,Жінка,40,170.55,5,10.23,Весна,197.84,2023-01-14,12:52:03,Електронний гаманець
A,969-64-5967,М'ясні продукти,Чоловік,29,322.96,3,19.38,Весна,374.64,2023-03-04,12:01:00,Оплата карткою
A,661-34-3416,М'ясні продукти,Чоловік,30,492.84,9,29.57,Весна,571.69,2023-02-26,21:26:01,Готівкою
C,583-67-5025,Косметика,Жінка,13,833.04,9,49.98,Весна,966.32,2023-01-25,19:22:30,Електронний гаманець
A,442-36-2605,Солодощі,Жінка,44,73.92,3,4.44,Весна,85.75,2023-01-19,14:54:34,Готівкою
B,285-71-6193,Алкоголь,Жінка,32,1700.09,7,102.01,Весна,1972.11,2023-03-19,20:14:05,Електронний гаманець
B,176-89-5077,Солодкі напої,Чоловік,36,194.68,8,11.68,Весна,225.83,2023-03-19,13:26:39,Електронний гаманець
B,629-91-9295,Солодкі напої,Чоловік,27,12.6,1,0.76,Весна,14.62,2023-03-08,22:39:18,Електронний гаманець
A,915-43-7978,Молочні продукти,Жінка,56,281.41,8,16.88,Весна,326.43,2023-03-10,10:30:32,Готівкою
A,839-14-1696,Солодощі,Жінка,35,482.84,6,28.97,Весна,560.09,2023-01-23,21:54:39,Електронний гаманець
A,756-35-2047,Молочні продукти,Жінка,31,221.8,8,13.31,Весна,257.29,2023-01-23,20:42:26,Електронний гаманець
A,117-88-9215,М'ясні продукти,Чоловік,52,432.43,5,25.95,Весна,501.62,2023-02-12,15:38:26,Електронний гаманець
C,549-29-9599,Інструменти,Чоловік,11,2306.65,10,138.4,Весна,2675.72,2023-01-02,19:23:51,Оплата карткою
A,519-47-7882,Солодощі,Жінка,31,511.93,7,30.72,Весна,593.84,2023-01-28,12:20:20,Готівкою
A,151-10-9042,Солодощі,Чоловік,19,462.86,4,27.77,Весна,536.92,2023-02-05,14:48:23,Оплата карткою
A,843-26-6083,Молочні продукти,Жінка,26,149.07,5,8.94,Весна,172.92,2023-03-04,22:17:51,Готівкою
C,384-95-6464,Косметика,Чоловік,88,1023.38,7,61.4,Весна,1187.12,2023-02-10,22:32:12,Готівкою
A,795-37-2681,М'ясні продукти,Жінка,34,442.71,2,26.56,Весна,513.54,2023-02-24,21:02:35,Електронний гаманець
A,989-24-1518,Солодощі,Чоловік,74,305.47,2,18.33,Весна,354.35,2023-03-27,14:32:50,Готівкою
A,354-99-9692,Фрукти та овочі,Жінка,60,151.21,9,9.07,Весна,175.4,2023-03-30,14:01:01,Електронний гаманець
B,976-73-4792,Солодкі напої,Чоловік,38,134.61,6,8.08,Весна,156.15,2023-01-12,10:57:12,Електронний гаманець
B,788-88-2451,Алкоголь,Чоловік,43,120.45,2,7.23,Весна,139.73,2023-02-01,12:57:27,Готівкою
B,264-73-5750,Алкоголь,Чоловік,87,87.59,2,5.26,Весна,101.61,2023-03-15,17:50:28,Готівкою
A,266-39-9978,Солодощі,Жінка,24,207.35,4,12.44,Весна,240.52,2023-02-12,20:13:45,Готівкою
C,266-79-2618,Косметика,Жінка,28,235.7,2,14.14,Весна,273.41,2023-02-21,22:41:31,Готівкою
A,416-13-8357,Фрукти та овочі,Жінка,58,132.99,9,7.98,Весна,154.27,2023-03-17,20:33:24,Електронний гаманець
C,294-88-5911,Косметика,Жінка,32,318.64,4,19.12,Весна,369.62,2023-02-06,17:42:05,Електронний гаманець
B,936-84-2654,Алкоголь,Чоловік,22,183.31,5,11.0,Весна,212.64,2023-03-19,08:28:38,Оплата карткою
B,778-24-7043,Солодкі напої,Жінка,16,110.97,5,6.66,Весна,128.73,2023-01-19,14:57:57,Електронний гаманець
A,828-65-9758,Солодощі,Чоловік,45,445.25,9,26.71,Весна,516.49,2023-02-28,21:49:56,Оплата карткою
A,236-33-2943,Фрукти та овочі,Жінка,34,205.06,6,12.3,Весна,237.87,2023-01-09,19:39:10,Електронний гаманець
B,124-83-6893,Алкоголь,Чоловік,32,822.89,10,49.37,Весна,954.55,2023-01-01,13:48:54,Готівкою
B,634-88-7012,Солодкі напої,Чоловік,36,22.42,1,1.35,Весна,26.01,2023-03-22,13:17:03,Оплата карткою
C,540-22-6864,Інструменти,Чоловік,15,3177.85,6,190.67,Весна,3686.3,2023-03-02,13:30:58,Готівкою
A,192-27-5692,Фрукти та овочі,Чоловік,47,205.14,10,12.31,Весна,237.96,2023-01-05,08:55:17,Електронний гаманець
A,463-18-8711,Молочні продукти,Жінка,12,54.95,1,3.3,Весна,63.75,2023-03-03,19:03:09,Електронний гаманець
C,192-32-3645,Інструменти,Чоловік,39,1207.5,7,72.45,Весна,1400.7,2023-02-27,16:11:53,Оплата карткою
A,408-95-9446,Солодощі,Жінка,32,17.37,1,1.04,Весна,20.15,2023-01-09,18:35:20,Готівкою
A,212-75-2654,Фрукти та овочі,Чоловік,12,174.16,7,10.45,Весна,202.03,2023-02-12,13:06:00,Електронний гаманець
A,562-80-1037,Солодощі,Чоловік,49,562.37,5,33.74,Весна,652.35,2023-01-21,18:52:45,Готівкою
A,701-51-9446,М'ясні продукти,Жінка,27,138.55,4,8.31,Весна,160.72,2023-01-04,20:03:13,Готівкою
C,102-57-3083,Косметика,Жінка,23,331.19,7,19.87,Весна,384.18,2023-02-12,20:11:59,Оплата карткою
A,105-18-2685,Фрукти та овочі,Жінка,38,156.07,5,9.36,Весна,181.04,2023-02-25,18:20:25,Оплата карткою
A,365-68-5019,Молочні продукти,Жінка,42,48.86,2,2.93,Весна,56.68,2023-01-07,13:05:31,Оплата карткою
C,105-88-7094,Косметика,Чоловік,26,1570.7,7,94.24,Весна,1822.01,2023-02-20,22:54:23,Електронний гаманець
A,755-21-3363,М'ясні продукти,Жінка,71,218.76,5,13.13,Весна,253.77,2023-03-02,17:08:35,Готівкою
C,908-65-6817,Косметика,Жінка,15,2589.16,10,155.35,Весна,3003.43,2023-01-22,15:29:23,Готівкою
C,882-84-9328,Косметика,Жінка,14,2035.45,10,122.13,Весна,2361.12,2023-03-21,22:18:12,Оплата карткою
A,463-85-8620,Молочні продукти,Чоловік,48,172.25,6,10.33,Весна,199.81,2023-01-23,22:08:23,Електронний гаманець
A,359-22-2436,М'ясні продукти,Жінка,16,174.83,4,10.49,Весна,202.8,2023-03-04,09:57:14,Оплата карткою
C,607-92-6873,Інструменти,Чоловік,21,841.38,2,50.48,Весна,976.0,2023-02-25,16:40:20,Готівкою
B,955-61-5384,Алкоголь,Чоловік,51,1597.01,3,95.82,Весна,1852.53,2023-02-03,14:22:23,Готівкою
A,597-58-2563,Фрукти та овочі,Чоловік,29,103.62,5,6.22,Весна,120.2,2023-03-11,15:48:57,Оплата карткою
A,744-42-1983,Молочні продукти,Чоловік,14,37.89,2,2.27,Весна,43.95,2023-02-10,21:28:42,Електронний гаманець
B,491-56-9332,Алкоголь,Жінка,35,515.46,5,30.93,Весна,597.94,2023-02-17,21:47:09,Готівкою
A,935-29-8952,Фрукти та овочі,Чоловік,18,224.82,7,13.49,Весна,260.79,2023-01-12,18:15:51,Готівкою
A,339-88-4365,Солодощі,Жінка,30,281.2,4,16.87,Весна,326.19,2023-01-31,18:40:44,Готівкою
C,790-90-7115,Інструменти,Жінка,18,1227.13,7,73.63,Весна,1423.47,2023-03-10,14:54:09,Готівкою
C,469-61-7406,Косметика,Чоловік,27,35.47,1,2.13,Весна,41.15,2023-02-18,21:39:14,Готівкою
A,399-99-1513,М'ясні продукти,Жінка,54,567.24,7,34.03,Весна,657.99,2023-02-21,20:05:58,Оплата карткою
A,370-57-5680,Солодощі,Чоловік,10,317.99,3,19.08,Весна,368.87,2023-03-18,12:44:32,Готівкою
B,962-81-2542,Солодкі напої,Чоловік,11,51.16,4,3.07,Весна,59.35,2023-01-29,14:37:26,Електронний гаманець
C,173-23-3475,Косметика,Чоловік,14,1244.25,7,74.66,Весна,1443.34,2023-03-18,16:29:21,Оплата карткою
C,554-88-7141,Інструменти,Чоловік,24,1614.14,2,96.85,Весна,1872.4,2023-02-21,13:47:53,Готівкою
C,361-30-4076,Косметика,Жінка,35,510.84,5,30.65,Весна,592.57,2023-03-12,18:59:23,Готівкою
B,126-87-3809,Алкоголь,Чоловік,58,515.51,5,30.93,Весна,597.99,2023-01-19,19:53:32,Електронний гаманець
A,313-38-7882,Фрукти та овочі,Жінка,11,21.1,2,1.27,Весна,24.48,2023-01-14,20:00:42,Електронний гаманець
A,672-37-9312,Фрукти та овочі,Жінка,81,51.06,2,3.06,Весна,59.23,2023-03-27,16:45:07,Готівкою
B,439-76-9465,Алкоголь,Чоловік,40,213.8,5,12.83,Весна,248.01,2023-03-17,22:35:17,Оплата карткою
B,542-37-8951,Алкоголь,Жінка,87,453.04,4,27.18,Весна,525.52,2023-03-22,20:41:57,Готівкою
C,837-49-4937,Косметика,Жінка,35,467.02,6,28.02,Весна,541.74,2023-02-05,16:21:36,Оплата карткою
A,502-82-8925,Солодощі,Жінка,45,569.7,9,34.18,Весна,660.85,2023-01-22,22:26:04,Електронний гаманець
A,103-67-8283,М'ясні продукти,Жінка,56,926.06,7,55.56,Весна,1074.23,2023-03-21,16:06:20,Електронний гаманець
A,528-22-3375,Молочні продукти,Чоловік,35,355.0,8,21.3,Весна,411.8,2023-02-04,13:24:54,Електронний гаманець
A,381-39-2023,М'ясні продукти,Жінка,52,750.7,9,45.04,Весна,870.81,2023-01-01,14:03:39,Готівкою
A,343-69-4786,Фрукти та овочі,Жінка,42,82.25,3,4.93,Весна,95.41,2023-01-08,20:45:05,Готівкою
C,641-15-4966,Інструменти,Чоловік,69,100.66,2,6.04,Весна,116.77,2023-02-24,09:57:14,Готівкою
A,199-53-7159,М'ясні продукти,Жінка,29,457.8,3,27.47,Весна,531.05,2023-03-29,16:21:15,Оплата карткою
C,127-11-4671,Інструменти,Чоловік,25,324.97,4,19.5,Весна,376.97,2023-03-30,18:25:10,Готівкою
B,515-80-8359,Алкоголь,Жінка,43,618.31,7,37.1,Весна,717.24,2023-03-23,22:47:24,Готівкою
A,697-29-2586,М'ясні продукти,Чоловік,27,1235.12,8,74.11,Весна,1432.74,2023-01-23,13:10:52,Готівкою
A,929-11-3340,М'ясні продукти,Чоловік,47,138.18,2,8.29,Весна,160.29,2023-02-21,16:32:28,Оплата карткою
A,826-71-2174,Молочні продукти,Чоловік,23,88.31,3,5.3,Весна,102.44,2023-01-15,14:38:28,Електронний гаманець
B,256-47-5373,Алкоголь,Чоловік,68,664.22,6,39.85,Весна,770.49,2023-03-17,16:30:34,Готівкою
A,657-93-5329,М'ясні продукти,Жінка,56,757.76,5,45.47,Весна,879.01,2023-03-09,19:41:51,Готівкою
A,802-11-7926,Фрукти та овочі,Чоловік,30,38.55,5,2.31,Весна,44.71,2023-01-16,16:46:17,Оплата карткою
C,107-41-1188,Косметика,Жінка,14,1340.15,8,80.41,Весна,1554.58,2023-03-05,21:08:27,Готівкою
A,956-91-9675,Фрукти та овочі,Жінка,42,8.71,1,0.52,Весна,10.1,2023-01-27,12:21:46,Готівкою
A,469-92-1585,Молочні продукти,Чоловік,75,30.66,1,1.84,Весна,35.57,2023-01-01,16:28:58,Готівкою
B,872-29-3622,Алкоголь,Чоловік,57,77.69,2,4.66,Весна,90.12,2023-03-13,22:47:54,Готівкою
A,828-89-7630,Фрукти та овочі,Жінка,41,192.0,6,11.52,Весна,222.72,2023-01-12,08:38:31,Готівкою
B,326-70-1651,Солодкі напої,Жінка,64,32.88,2,1.97,Весна,38.14,2023-01-20,11:45:40,Оплата карткою
C,413-72-9669,Інструменти,Чоловік,16,2258.85,8,135.53,Весна,2620.27,2023-02-15,18:03:39,Електронний гаманець
A,871-13-5224,М'ясні продукти,Жінка,39,159.78,1,9.59,Весна,185.35,2023-02-02,08:29:18,Готівкою
A,126-67-9388,Солодощі,Жінка,31,803.68,8,48.22,Весна,932.27,2023-02-10,22:16:38,Електронний гаманець
B,193-82-3981,Солодкі напої,Жінка,39,111.39,4,6.68,Весна,129.21,2023-03-20,19:22:36,Готівкою
A,166-43-7865,Фрукти та овочі,Чоловік,55,123.01,2,7.38,Весна,142.69,2023-02-08,19:42:06,Готівкою
C,334-36-5478,Інструменти,Чоловік,29,1853.41,6,111.2,Весна,2149.95,2023-02-09,19:29:20,Оплата карткою
C,528-97-4061,Косметика,Жінка,21,4632.47,10,277.95,Весна,5373.67,2023-03-25,14:31:22,Готівкою
A,303-16-2776,Солодощі,Жінка,22,786.43,10,47.19,Весна,912.26,2023-01-17,21:58:11,Оплата карткою
A,411-47-2587,Фрукти та овочі,Жінка,25,72.05,4,4.32,Весна,83.58,2023-01-17,12:29:38,Електронний гаманець
C,940-14-9545,Інструменти,Чоловік,23,816.77,6,49.01,Весна,947.46,2023-03-03,18:00:08,Готівкою
B,633-74-1070,Солодкі напої,Чоловік,22,104.74,4,6.28,Весна,121.49,2023-02-26,16:48:55,Готівкою
A,736-27-5677,Молочні продукти,Жінка,23,359.78,10,21.59,Весна,417.35,2023-01-29,16:45:44,Готівкою
A,714-49-4796,Фрукти та овочі,Жінка,14,59.76,3,3.59,Весна,69.33,2023-01-17,12:47:16,Електронний гаманець
C,422-97-6284,Інструменти,Чоловік,13,106.18,2,6.37,Весна,123.17,2023-01-17,12:57:55,Оплата карткою
A,828-50-3867,Молочні продукти,Жінка,15,174.01,6,10.44,Весна,201.85,2023-03-07,19:56:08,Електронний гаманець
C,904-66-6148,Інструменти,Чоловік,49,509.49,4,30.57,Весна,591.01,2023-03-26,22:30:20,Готівкою
A,739-65-2078,Фрукти та овочі,Чоловік,37,45.2,3,2.71,Весна,52.43,2023-02-20,14:23:58,Оплата карткою
B,702-20-3161,Солодкі напої,Чоловік,33,226.94,10,13.62,Весна,263.25,2023-01-01,14:00:41,Електронний гаманець
A,653-46-6325,Фрукти та овочі,Жінка,47,223.37,6,13.4,Весна,259.11,2023-02-06,14:37:32,Готівкою
C,311-55-3091,Косметика,Жінка,11,182.57,3,10.95,Весна,211.78,2023-02-08,13:03:38,Оплата карткою
A,956-44-7858,Солодощі,Жінка,12,366.66,3,22.0,Весна,425.33,2023-03-02,09:17:27,Електронний гаманець
A,939-42-4375,Солодощі,Жінка,26,740.73,9,44.44,Весна,859.24,2023-01-04,08:20:20,Електронний гаманець
C,676-73-4881,Косметика,Жінка,21,358.03,5,21.48,Весна,415.31,2023-01-26,19:50:38,Електронний гаманець
C,807-23-9026,Косметика,Жінка,32,2086.89,9,125.21,Весна,2420.79,2023-03-07,19:36:42,Оплата карткою
B,485-98-3147,Солодкі напої,Чоловік,63,63.12,4,3.79,Весна,73.22,2023-03-11,17:31:10,Готівкою
A,421-85-3726,М'ясні продукти,Жінка,53,440.84,6,26.45,Весна,511.37,2023-03-28,12:23:22,Готівкою
A,934-59-8232,М'ясні продукти,Жінка,40,939.04,10,56.34,Весна,1089.28,2023-01-20,17:42:52,Електронний гаманець
A,867-40-3612,Молочні продукти,Чоловік,58,206.09,8,12.37,Весна,239.07,2023-01-10,14:14:33,Електронний гаманець
B,952-57-6662,Солодкі напої,Жінка,17,52.69,4,3.16,Весна,61.12,2023-03-03,19:24:42,Оплата карткою
C,167-55-6260,Косметика,Чоловік,48,449.53,2,26.97,Весна,521.45,2023-01-05,18:06:01,Готівкою
C,267-57-9159,Інструменти,Чоловік,11,2134.46,9,128.07,Весна,2475.98,2023-03-19,19:19:20,Електронний гаманець
A,774-15-2886,М'ясні продукти,Чоловік,77,114.65,2,6.88,Весна,133.0,2023-01-29,22:56:44,Готівкою
A,938-39-3008,Молочні продукти,Жінка,59,18.54,1,1.11,Весна,21.5,2023-03-14,20:10:00,Електронний гаманець
C,617-64-4384,Інструменти,Чоловік,76,410.67,3,24.64,Весна,476.38,2023-01-05,17:23:02,Оплата карткою
C,823-74-9165,Інструменти,Жінка,20,1749.4,9,104.96,Весна,2029.3,2023-01-07,20:16:24,Оплата карткою
A,391-13-1158,М'ясні продукти,Чоловік,47,405.3,5,24.32,Весна,470.15,2023-03-05,18:05:07,Готівкою
B,503-22-9853,Солодкі напої,Чоловік,29,210.53,10,12.63,Весна,244.21,2023-01-05,20:14:58,Оплата карткою
A,991-71-7971,Фрукти та овочі,Жінка,55,27.56,2,1.65,Весна,31.97,2023-02-06,12:48:34,Готівкою
C,166-60-6761,Косметика,Жінка,10,3789.64,8,227.38,Весна,4395.98,2023-03-27,20:54:14,Електронний гаманець
A,835-77-4136,М'ясні продукти,Чоловік,39,108.28,1,6.5,Весна,125.61,2023-02-18,10:10:37,Електронний гаманець
A,443-42-8617,М'ясні продукти,Жінка,59,601.19,6,36.07,Весна,697.38,2023-02-05,20:51:21,Готівкою
B,958-11-7836,Солодкі напої,Чоловік,33,141.52,10,8.49,Весна,164.16,2023-02-10,20:15:30,Готівкою
B,805-89-6310,Алкоголь,Чоловік,28,1521.89,6,91.31,Весна,1765.39,2023-01-19,21:14:18,Готівкою
B,520-43-3692,Солодкі напої,Чоловік,10,75.53,3,4.53,Весна,87.61,2023-02-06,22:21:24,Готівкою
B,406-56-6220,Алкоголь,Чоловік,42,249.65,5,14.98,Весна,289.6,2023-01-24,12:54:34,Електронний гаманець
B,932-44-8331,Алкоголь,Жінка,34,1145.74,10,68.74,Весна,1329.05,2023-01-30,15:52:50,Оплата карткою
A,331-30-9830,Молочні продукти,Жінка,15,189.97,7,11.4,Весна,220.37,2023-02-18,20:35:24,Електронний гаманець
C,558-42-5381,Інструменти,Чоловік,27,244.37,4,14.66,Весна,283.47,2023-01-18,16:09:57,Готівкою
C,821-72-9996,Косметика,Жінка,17,1507.11,2,90.43,Весна,1748.25,2023-03-28,20:04:34,Оплата карткою
B,709-98-8193,Алкоголь,Чоловік,50,885.02,4,53.1,Весна,1026.62,2023-01-10,13:10:36,Оплата карткою
C,516-83-3161,Інструменти,Чоловік,16,2473.62,9,148.42,Весна,2869.4,2023-01-12,20:48:07,Електронний гаманець
B,667-73-2187,Солодкі напої,Чоловік,38,12.27,1,0.74,Весна,14.24,2023-03-16,18:14:53,Готівкою
A,720-94-4316,М'ясні продукти,Жінка,49,252.81,3,15.17,Весна,293.26,2023-01-07,12:27:07,Оплата карткою
A,335-42-6433,Молочні продукти,Жінка,53,20.13,1,1.21,Весна,23.35,2023-02-18,12:49:03,Електронний гаманець
A,906-99-7010,Фрукти та овочі,Чоловік,41,36.13,3,2.17,Весна,41.91,2023-02-02,20:30:12,Електронний гаманець
A,574-85-7771,Фрукти та овочі,Жінка,39,145.67,8,8.74,Весна,168.98,2023-02-02,14:02:47,Електронний гаманець
C,939-38-4766,Інструменти,Чоловік,83,1450.32,2,87.02,Весна,1682.37,2023-03-03,18:12:08,Готівкою
C,406-94-4841,Інструменти,Чоловік,10,3070.91,6,184.25,Весна,3562.25,2023-03-03,13:19:55,Оплата карткою
A,777-93-9461,Фрукти та овочі,Жінка,74,240.68,7,14.44,Весна,279.19,2023-03-01,15:06:10,Готівкою
A,887-35-1955,Фрукти та овочі,Жінка,59,280.32,10,16.82,Весна,325.17,2023-03-20,17:38:20,Готівкою
B,826-91-7037,Алкоголь,Чоловік,49,1983.46,7,119.01,Весна,2300.82,2023-02-16,08:07:11,Оплата карткою
B,606-24-6426,Алкоголь,Жінка,68,873.88,6,52.43,Весна,1013.7,2023-02-05,16:30:07,Оплата карткою
A,326-45-1091,М'ясні продукти,Жінка,39,1284.18,10,77.05,Весна,1489.65,2023-03-11,21:11:53,Оплата карткою
C,417-72-4532,Косметика,Жінка,10,1349.1,10,80.95,Весна,1564.96,2023-03-18,12:36:22,Електронний гаманець
A,719-22-7820,М'ясні продукти,Жінка,37,476.17,9,28.57,Весна,552.36,2023-03-30,15:29:58,Готівкою
A,937-78-1177,Молочні продукти,Чоловік,53,167.96,5,10.08,Весна,194.84,2023-01-12,18:14:48,Електронний гаманець
B,337-93-9424,Солодкі напої,Чоловік,35,64.05,5,3.84,Весна,74.3,2023-01-24,20:00:39,Електронний гаманець
A,760-38-5443,Молочні продукти,Жінка,85,275.85,10,16.55,Весна,319.99,2023-02-23,18:58:58,Готівкою
B,893-70-8378,Солодкі напої,Чоловік,36,256.85,10,15.41,Весна,297.95,2023-01-21,20:37:06,Готівкою
A,558-53-9238,Молочні продукти,Жінка,18,144.82,4,8.69,Весна,167.99,2023-02-23,14:22:04,Готівкою
A,267-60-5917,М'ясні продукти,Жінка,13,297.57,4,17.85,Весна,345.18,2023-01-08,14:53:34,Оплата карткою
A,492-52-7767,Молочні продукти,Чоловік,56,60.43,3,3.63,Весна,70.1,2023-03-15,20:18:09,Оплата карткою
A,950-68-2005,Солодощі,Жінка,25,820.39,9,49.22,Весна,951.65,2023-01-15,19:54:39,Електронний гаманець
C,415-99-8053,Інструменти,Чоловік,64,2374.25,10,142.45,Весна,2754.12,2023-02-01,22:02:44,Готівкою
C,321-27-7937,Інструменти,Чоловік,31,2118.39,8,127.1,Весна,2457.33,2023-01-18,12:00:04,Готівкою
B,991-45-6390,Солодкі напої,Жінка,37,23.43,2,1.41,Весна,27.18,2023-03-29,12:12:35,Електронний гаманець
A,362-86-1315,Молочні продукти,Жінка,57,133.82,6,8.03,Весна,155.23,2023-03-30,20:51:00,Готівкою
A,388-84-8079,М'ясні продукти,Чоловік,17,240.85,3,14.45,Весна,279.38,2023-01-16,17:32:42,Оплата карткою
A,164-24-4132,Молочні продукти,Чоловік,24,79.18,1,4.75,Весна,91.85,2023-02-12,15:40:08,Оплата карткою
C,150-82-1312,Косметика,Жінка,21,858.46,4,51.51,Весна,995.82,2023-03-14,21:27:26,Електронний гаманець
A,678-36-3684,Солодощі,Жінка,19,522.19,10,31.33,Весна,605.74,2023-01-01,13:59:49,Готівкою
A,181-61-6615,Молочні продукти,Жінка,66,198.47,8,11.91,Весна,230.23,2023-02-27,13:04:11,Готівкою
A,915-17-4275,Молочні продукти,Жінка,40,321.33,10,19.28,Весна,372.74,2023-01-07,17:55:40,Оплата карткою
A,943-95-5285,Фрукти та овочі,Жінка,60,160.61,7,9.64,Весна,186.31,2023-03-28,20:18:30,Оплата карткою
A,486-46-1979,Молочні продукти,Чоловік,38,382.87,10,22.97,Весна,444.13,2023-01-01,16:09:08,Електронний гаманець
A,987-37-4465,Солодощі,Чоловік,38,45.29,2,2.72,Весна,52.54,2023-03-08,18:26:02,Готівкою
A,259-86-4676,М'ясні продукти,Жінка,20,534.37,5,32.06,Весна,619.87,2023-01-01,16:39:09,Електронний гаманець
B,450-24-7728,Алкоголь,Жінка,56,1647.69,8,98.86,Весна,1911.32,2023-03-02,16:08:29,Оплата карткою
C,341-17-9752,Косметика,Жінка,15,623.88,5,37.43,Весна,723.7,2023-03-29,20:14:53,Готівкою
A,862-20-8490,М'ясні продукти,Чоловік,27,417.9,7,25.07,Весна,484.76,2023-02-27,17:58:38,Готівкою
A,107-46-5374,М'ясні продукти,Жінка,24,265.51,3,15.93,Весна,307.99,2023-02-18,12:01:17,Оплата карткою
B,317-94-6019,Солодкі напої,Чоловік,29,231.14,9,13.87,Весна,268.12,2023-03-18,17:27:43,Готівкою
A,623-59-1298,Молочні продукти,Жінка,27,223.9,8,13.43,Весна,259.72,2023-01-16,13:08:18,Оплата карткою
A,400-49-2146,Солодощі,Жінка,42,357.2,4,21.43,Весна,414.35,2023-02-28,12:39:32,Готівкою
C,319-63-6029,Інструменти,Чоловік,39,1230.58,6,73.83,Весна,1427.47,2023-03-23,12:06:11,Оплата карткою
C,911-93-7515,Інструменти,Чоловік,33,1157.19,8,69.43,Весна,1342.34,2023-01-23,10:11:52,Оплата карткою
C,754-67-1149,Інструменти,Чоловік,37,3236.21,9,194.17,Весна,3754.0,2023-01-14,09:39:10,Оплата карткою
B,363-59-3214,Алкоголь,Чоловік,23,1172.56,3,70.35,Весна,1360.17,2023-01-04,16:05:04,Готівкою
A,898-61-1749,Молочні продукти,Жінка,14,263.85,9,15.83,Весна,306.06,2023-01-04,13:55:30,Оплата карткою
A,482-86-7489,Молочні продукти,Жінка,53,308.27,8,18.5,Весна,357.6,2023-03-08,08:49:14,Оплата карткою
C,515-94-3991,Косметика,Жінка,13,49.18,1,2.95,Весна,57.05,2023-01-04,19:12:45,Готівкою
A,954-86-2826,Солодощі,Чоловік,11,92.56,2,5.55,Весна,107.37,2023-02-27,19:32:21,Готівкою
B,997-51-3933,Солодкі напої,Чоловік,39,111.44,6,6.69,Весна,129.27,2023-02-23,22:26:16,Готівкою
B,933-17-8271,Алкоголь,Чоловік,25,316.61,1,19.0,Весна,367.27,2023-03-08,16:34:05,Оплата карткою
B,735-30-5868,Солодкі напої,Чоловік,20,165.82,8,9.95,Весна,192.35,2023-02-02,17:44:27,Готівкою
C,601-92-1809,Інструменти,Чоловік,15,1627.09,8,97.63,Весна,1887.43,2023-01-09,16:58:59,Оплата карткою
A,886-79-1184,Фрукти та овочі,Жінка,59,104.08,7,6.24,Весна,120.73,2023-03-02,10:12:36,Оплата карткою
C,849-58-1579,Косметика,Жінка,11,37.77,1,2.27,Весна,43.82,2023-02-08,21:36:33,Електронний гаманець
B,388-96-4526,Алкоголь,Жінка,29,75.19,1,4.51,Весна,87.22,2023-02-13,21:09:09,Готівкою
C,637-44-7852,Косметика,Жінка,43,299.68,3,17.98,Весна,347.63,2023-01-26,13:00:30,Оплата карткою
C,856-66-7980,Інструменти,Чоловік,20,3169.24,8,190.15,Весна,3676.31,2023-01-19,21:56:49,Електронний гаманець
A,652-53-8334,Молочні продукти,Жінка,60,170.94,6,10.26,Весна,198.29,2023-01-30,14:31:12,Електронний гаманець
A,944-16-8841,Солодощі,Жінка,43,420.89,6,25.25,Весна,488.23,2023-03-20,20:46:19,Оплата карткою
B,206-82-5495,Солодкі напої,Чоловік,36,63.3,3,3.8,Весна,73.43,2023-02-09,20:02:16,Готівкою
C,507-63-1217,Інструменти,Чоловік,33,3073.22,6,184.39,Весна,3564.93,2023-02-13,21:25:19,Оплата карткою
